block_id,port_id
1,3
1,4
1,5
2,8
2,9
2,10
3,11
4,13
5,15
5,16
5,17
5,18
5,19
5,20
6,22
6,23
6,24
7,27
7,28
7,29
8,32
8,33
8,34
8,35
8,36
9,40
9,41
10,45
11,49
12,53
13,56
13,57
14,63
15,66
16,69
16,70
17,71
18,74
18,75
18,76
18,77
19,79
19,80
19,81
20,84
20,85
20,86
21,88
21,89
21,90
22,92
22,93
23,97
23,98
23,99
24,103
25,106
